City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,gadzhiyevo,69.2551,33.3362,0.56,99,100,0.23,RU,1714061990
140,zapala,-38.8992,-70.0544,12.18,40,0,21.46,AR,1714061992
141,shiyan,32.6475,110.7781,19.28,62,56,1.16,CN,1714061993
142,lionel town,17.8101,-77.2406,34.39,43,27,2.95,JM,1714061994
143,villa gesell,-37.2639,-56.973,13.92,69,100,6.72,AR,1714061995
144,azemmour,33.2895,-8.3425,19.11,62,2,6.23,MA,1714061997
145,phan rang-thap cham,11.5667,108.9833,27.01,87,71,1.42,VN,1714061998
146,selfoss,63.9331,-20.9971,12.25,51,31,2.36,IS,1714061999
147,hasaki,35.7333,140.8333,15.22,88,100,5.11,JP,1714062000
148,tolanaro,-25.0319,46.9987,23.8,87,32,4.98,MG,1714062001
149,bilajer,40.5681,50.0378,17.9,72,0,5.14,AZ,1714062003
150,badger,64.8,-147.5333,6.66,54,20,1.54,US,1714062004
151,tahe,52.3333,124.7333,1.75,69,100,7.34,CN,1714062005
152,revda,56.801,59.9303,3.66,97,100,1.08,RU,1714062006
153,isafjordur,66.0755,-23.124,5.02,65,0,2.06,IS,1714062008
154,salalah,17.0151,54.0924,29.05,79,40,3.09,OM,1714062009
155,airway heights,47.6446,-117.5933,11.16,58,75,5.66,US,1714062010
156,lebu,-37.6167,-73.65,15.13,71,99,4.35,CL,1714062011
157,papatowai,-46.5619,169.4708,6.1,83,60,6.3,NZ,1714062013
158,mogok,22.9167,96.5,21.32,36,24,0.94,MM,1714062014
159,port douglas,-16.4833,145.4667,23.08,78,81,2.27,AU,1714062015
160,magadan,59.5667,150.8,-0.26,98,100,3.46,RU,1714061999
161,nova sintra,14.8667,-24.7167,23.29,81,25,6.16,CV,1714062018
162,lowestoft,52.4752,1.7516,9.02,74,100,2.64,GB,1714062019
163,callao,-12.0667,-77.15,22.16,83,75,3.6,PE,1714061671
164,kodiak,57.79,-152.4072,2.73,93,100,1.54,US,1714062021
165,dubbo,-32.25,148.6167,8.07,71,0,4.63,AU,1714061835
166,ancud,-41.8697,-73.8203,11.48,85,100,8.76,CL,1714061792
167,corcoran,36.098,-119.5604,17.16,61,86,3.77,US,1714062025
168,olyokminsk,60.3736,120.4264,-6.25,92,99,1.2,RU,1714062026
169,hermanus,-34.4187,19.2345,18.78,82,85,4.52,ZA,1714062028
170,catio,11.2833,-15.25,34.01,31,97,7.06,GW,1714062029
171,balykshi,47.0667,51.8667,20.0,56,0,3.0,KZ,1714062030
172,maneromango,-7.1988,38.7848,21.93,98,98,2.41,TZ,1714062031
173,hakha,22.65,93.6167,17.98,57,0,2.12,MM,1714062033
174,homer,59.6425,-151.5483,5.98,79,100,2.06,US,1714062034
175,jaguaruna,-28.615,-49.0256,21.2,67,96,2.93,BR,1714062036
176,ola,59.5833,151.2833,0.08,92,100,3.02,RU,1714062037
177,luganville,-15.5333,167.1667,25.52,92,92,2.06,VU,1714062041
178,fort bragg,35.139,-79.006,24.39,55,0,3.09,US,1714062042
179,dunedin,-45.8742,170.5036,7.11,92,100,2.68,NZ,1714061771
180,kabalo,-6.05,26.9167,24.06,90,100,0.97,CD,1714062045
181,vila franca do campo,37.7167,-25.4333,18.27,99,36,0.89,PT,1714062046
182,college,64.8569,-147.8028,7.26,59,20,1.54,US,1714062049
183,sinabang,2.4803,96.3801,26.73,90,100,1.05,ID,1714062050
184,la tuque,47.4334,-72.7824,3.14,28,1,3.6,CA,1714062051
185,jacarezinho,-23.1606,-49.9694,30.37,45,51,1.6,BR,1714062052
186,vilyuchinsk,52.9306,158.4028,7.15,84,100,4.88,RU,1714062054
187,balqash,46.8481,74.995,10.26,23,100,10.36,KZ,1714062055
188,touros,-5.1989,-35.4608,31.02,64,42,6.4,BR,1714062056
189,bangangte,5.1409,10.5198,24.21,75,97,2.22,CM,1714062058
190,puerto baquerizo moreno,-0.9,-89.6,28.55,65,40,5.66,EC,1714062007
191,savonlinna,61.8699,28.88,1.03,93,100,4.63,FI,1714062060
192,livingston,55.9029,-3.5226,9.77,62,20,5.66,GB,1714062061
193,alice springs,-23.7,133.8833,7.75,71,68,2.57,AU,1714062063
194,dwarka,22.2394,68.9678,26.93,78,0,5.12,IN,1714062064
195,kilindoni,-7.9139,39.6668,26.74,83,100,6.28,TZ,1714062066
196,bowen,-20.0167,148.2333,20.97,86,14,3.32,AU,1714062067
197,queenstown,-31.8976,26.8753,16.97,61,87,3.5,ZA,1714062068
198,polyarnyy,69.1989,33.4478,0.41,99,99,0.56,RU,1714061823
199,chui,-33.6971,-53.4616,20.24,57,25,2.92,UY,1714062071
